Item,Description,Quantity,Total Item Price,URL,Total Cost
MAX7219 FC-16 LED 8x8 Matrix Blue, LED Single Color Matrix 32 mm,1,2.94,https://www.aliexpress.com/item/1005008861400634.html,59.65
MAX 7219 3 Digit 7-Segment Display 0.36 inch,"3 Digit display, pre-soldered",1,5.68,https://www.aliexpress.com/item/1005008469401785.html,
MAX 7219 6 Digit 7-Segment Display 0.36 inch,"6 Digit display, not soldered",1,6.38,https://www.aliexpress.com/item/1005008537774657.html,
Arduino Pro Micro Clone,microcontroller,1,5.67,https://www.aliexpress.com/item/32846843498.html,
3d Printed Case,0.15 cents per g of filament,1,4.95,,
3d Printed Top plate,0.15 cents per g of filament,1,2.94,,
3d printed Support Bracket,0.15 cents per g of filament,1,3.45,,
6 mm M3 Hex Standoffs x 20,Female-Female Standoffs To support PCB above case,4,3.81,https://www.aliexpress.com/item/1005008598758432.html,
6 mm M2 Hex Standoffs x 20,Female-Female Standoffs To support PCB above case,8,3.89,https://www.aliexpress.com/item/1005008598758432.html,
M3 Screws 5 mm,Generic M3 screws,4,3.05,https://www.aliexpress.com/item/1005005469451056.html,
M2 Screws 5 mm,Generic M2 screws,8,2.84,https://www.aliexpress.com/item/1005005469451056.html,
M3 Screws 30 mm,For keeping the entire assembly together,4,2.69,https://www.aliexpress.com/item/1005005879037174.html,
24 AWG Wire 5m ,To connect the components together,1,4.62,https://www.aliexpress.com/item/1005008563402600.html,
Velcro Straps,To secure the device to a wheelbase,,3.91,https://www.aliexpress.com/item/1005009035203418.html,
Micro USB Cable,Cable to connect to keyboard,1,2.83,https://www.aliexpress.com/item/1005007505993420.html,
Paint,"Black, White, Red, Silver paint. I already have.",1,0,,
